;;'***' 표시된 항목은 필수값입니다.
[PROJECT:START]
가곡(4423010022)-20230220
[PROJECT:END]
[SET_WATER_MANAGE:START]
;;물관리기간 설정,,,(㎜),(㎜)
;;순번,시작날짜,종료날짜,관리수심,배수조절
1,05/01/2020,09/10/2020,60,0
[SET_WATER_MANAGE:END]
[WATER_INSUPPLY:START]
;;순번,수원객체ID,객체유형,초기수심(m),증발계수,공급순번,공급객체ID,운영조건,시작시간,종료시간,비고,설명
1,IR_4423010022_TANK,1,7,0.72,1,IP_4423010022_PUMP,1,4,18,가곡,
2,IT_4423020034_TANK,1,2,0,1,IP_4423020034_PUMP,1,4,18,율리,
[WATER_INSUPPLY:END]
[WATER_INSUPPLY_DETAIL:START]
;;,,,,전체시스템,가곡,,율리,
;;$$,,,,수면증발량,IR_4423010022_TANK,IP_4423010022_PUMP,IT_4423020034_TANK,IP_4423020034_PUMP
;;순번,년,월,일,(㎜),유입량(천톤),공급량(천톤),유입량(천톤),공급량(천톤)
29,2020,05,29,0,4.42433977127075,1
30,2020,05,30,0,3.5255925655365,1
31,2020,05,31,0,3.56137490272522,1
32,2020,06,01,0,5.84710741043091,1
33,2020,06,02,0,5.20605707168579,1
34,2020,06,03,0,4.21491241455078,1
35,2020,06,04,0,5.84983396530151,1
36,2020,06,05,0,6.21598291397095,1
37,2020,06,06,0,3.98009157180786,1
38,2020,06,07,0,5.61739730834961,1
39,2020,06,08,0,6.28736591339111,1
40,2020,06,09,0,6.66368961334229,1
41,2020,06,10,0,5.64560317993164,1
42,2020,06,11,20.5,4.47039079666138,1
43,2020,06,12,46.5,3.5357677936554,1
44,2020,06,13,18.2,3.53523778915405,1
45,2020,06,14,8.2,3.95780682563782,1
46,2020,06,15,0,6.87416362762451,1
47,2020,06,16,0,6.94185543060303,1
48,2020,06,17,1,3.7570321559906,1
49,2020,06,18,21.5,2.29515433311462,1
50,2020,06,19,1.1,5.84622859954834,1
51,2020,06,20,0,4.84580039978027,1
52,2020,06,21,0,5.38300848007202,1
53,2020,06,22,0,6.54659461975098,1
54,2020,06,23,0,6.69710159301758,1
55,2020,06,24,14.2,2.57739210128784,1
56,2020,06,25,1.3,2.88119697570801,1
57,2020,06,26,0,7.04671907424927,1
58,2020,06,27,0,4.26234674453735,1
59,2020,06,28,0,6.2165207862854,1
60,2020,06,29,52,2.71440529823303,1
61,2020,06,30,2.3,4.18411779403687,1
62,2020,07,01,0,4.57267570495605,1
63,2020,07,02,0,5.17345905303955,1
64,2020,07,03,17.6,2.75223779678345,1
65,2020,07,04,0,3.2218759059906,1
66,2020,07,05,0,3.99181771278381,1
67,2020,07,06,0.2,2.90679478645325,1
68,2020,07,07,0,6.60440444946289,1
69,2020,07,08,0,6.07671070098877,1
70,2020,07,09,1.2,3.80262875556946,1
71,2020,07,10,65,3.96202945709229,1
72,2020,07,11,0,6.05246305465698,1
73,2020,07,12,43.2,3.3062539100647,1
74,2020,07,13,97.7,2.93053698539734,1
75,2020,07,14,12.2,2.91385698318481,1
76,2020,07,15,9.6,3.03974938392639,1
77,2020,07,16,1.4,6.97513103485107,1
78,2020,07,17,0,7.11805105209351,1
79,2020,07,18,0,5.2305006980896,1
80,2020,07,19,0,3.36507868766785,1
81,2020,07,20,0.2,5.01649618148804,1
82,2020,07,21,6.1,7.77236938476563,1
83,2020,07,22,106.9,3.41170120239258,1
84,2020,07,23,100.8,3.34464120864868,1
85,2020,07,24,10.6,3.33256959915161,1
86,2020,07,25,15.5,3.88047790527344,1
87,2020,07,26,0.3,7.71133756637573,1
88,2020,07,27,29,3.48047471046448,1
89,2020,07,28,23.9,3.43494176864624,1
90,2020,07,29,16.2,3.36494421958923,1
91,2020,07,30,13.4,3.68404102325439,1
92,2020,07,31,2.2,5.38677787780762,1
93,2020,08,01,0,6.43018913269043,1
